0x41000001,HT_TriggerType_Undefined
0x410000d1,HT_TriggerType_Mammoth_MG3_Sgt
0x410000d2,HT_TriggerType_Jupiter_Missile
0x410000d3,HT_TriggerType_JellyFish
0x410000d4,HT_TriggerType_Switch_Timed
0x410000d5,HT_TriggerType_Switch_Timed_Controller
0x410000d6,HT_TriggerType_ExpCrate
0x410000d7,HT_TriggerType_RMonster
0x410000d8,HT_TriggerType_EskimoleCrouched
0x410000d9,HT_TriggerType_Obstacle_MG1_Spx
0x410000da,HT_TriggerType_SparxFireball
0x410000db,HT_TriggerType_SparxSeeker
0x410000dc,HT_TriggerType_Bowman
0x410000dd,HT_TriggerType_Water
0x410000de,HT_TriggerType_LavaFlamers
0x410000df,HT_TriggerType_BallGadgetPathGate
0x410000e0,HT_TriggerType_SparxPickup
0x410000e1,HT_TriggerType_Shepherd
0x410000e2,HT_TriggerType_MineRobot
0x410000e3,HT_TriggerType_SparxGate
0x410000e4,HT_TriggerType_SparxBullet
0x410000e5,HT_TriggerType_MerGnorc
0x410000e6,HT_TriggerType_Clam
0x410000e7,HT_TriggerType_MineCart
0x410000e8,HT_TriggerType_CutScene
0x410000e9,HT_TriggerType_SpinningPlatform
0x410000ea,HT_TriggerType_BoneSpider
0x410000eb,HT_TriggerType_Wizard
0x410000ec,HT_TriggerType_Player_Ember
0x410000ed,HT_TriggerType_Player_Flame
0x410000ee,HT_TriggerType_TurretShell
0x410000ef,HT_TriggerType_SmashBoulder
0x410000f0,HT_TriggerType_Turnstile
0x410000f1,HT_TriggerType_Fan
0x410000f2,HT_TriggerType_Missile
0x410000f3,HT_TriggerType_GloomyCrusher
0x410000f4,HT_TriggerType_Robowman
0x410000f5,HT_TriggerType_Yeti
0x410000f6,HT_TriggerType_WaterCurrent
0x410000f7,HT_TriggerType_FireImps
0x410000f8,HT_TriggerType_WizardImpsComms
0x410000f9,HT_TriggerType_Rollbot
0x410000fa,HT_TriggerType_BallGadgetSwitch
0x410000fb,HT_TriggerType_Smashbot
0x410000fc,HT_TriggerType_DigWall
0x410000fd,HT_TriggerType_DigFloor
0x410000fe,HT_TriggerType_MerGnorcSentry
0x410000ff,HT_TriggerType_FireImpHover
0x41000100,HT_TriggerType_HornDiveFloor
0x41000101,HT_TriggerType_Skeleton
0x41000102,HT_TriggerType_Eskimole_MR3_Spy
0x41000103,HT_TriggerType_WizardSkeletonComms
0x41000105,HT_TriggerType_Fireball
0x41000106,HT_TriggerType_Fireball_ball
0x41000107,HT_TriggerType_Dynamo
0x41000108,HT_TriggerType_FireBird
0x41000109,HT_TriggerType_ProjectileLauncher
0x4100010a,HT_TriggerType_LaunchedProjectile
0x4100010b,HT_TriggerType_SparxHornet
0x4100010c,HT_TriggerType_Hazard
0x4100010d,HT_TriggerType_Gnorc_Sgt
0x4100010e,HT_TriggerType_BalloonARang
0x4100010f,HT_TriggerType_VanishingPlatform
0x41000110,HT_TriggerType_TreeDweller
0x41000111,HT_TriggerType_BalloonARangWeapon
0x41000112,HT_TriggerType_BadVine
0x41000113,HT_TriggerType_ShepherdGoatComms
0x41000114,HT_TriggerType_TetheredPlatform
0x41000115,HT_TriggerType_DarkGemShards
0x41000116,HT_TriggerType_PopUp
0x41000118,HT_TriggerType_Chest_GroundTarget
0x41000119,HT_TriggerType_Planets
0x4100011a,HT_TriggerType_BirdBombBag
0x4100011b,HT_TriggerType_BirdBombCont
0x4100011c,HT_TriggerType_ElectricWave
0x4100011d,HT_TriggerType_FoldingPlatform
0x4100011e,HT_TriggerType_WallKick_Switcher
0x4100011f,HT_TriggerType_R5B_StamperCtrl
0x41000120,HT_TriggerType_R4E_AssemblyGnorc
0x41000121,HT_TriggerType_R4E_AssemblyController
0x41000122,HT_TriggerType_LaserCannon
0x41000123,HT_TriggerType_R4_Laser
0x41000124,HT_TriggerType_LaserBolt
0x41000125,HT_TriggerType_EffectsTest
0x41000126,HT_TriggerType_BirdMan
0x41000127,HT_TriggerType_R4_FixedLaser
0x41000128,HT_TriggerType_FixedLaser
0x41000129,HT_TriggerType_SweepingLaser
0x4100012a,HT_TriggerType_R4_SwitchedLaser
0x4100012b,HT_TriggerType_SteamPiston
0x4100012c,HT_TriggerType_PressurePlatform
0x4100012d,HT_TriggerType_BirdManShockWave
0x4100012e,HT_TriggerType_BossRed
0x4100012f,HT_TriggerType_MrFreeze
0x41000131,HT_TriggerType_Boiler3C
0x41000132,HT_TriggerType_R4DPoleController
0x41000133,HT_TriggerType_R4D_SlidingWallKick
0x41000134,HT_TriggerType_TrapDoorSpider
0x41000135,HT_TriggerType_R4D_LaserTurret
0x41000136,HT_TriggerType_R4D_LaserSentinal
0x41000137,HT_TriggerType_SlidingCrate
0x41000138,HT_TriggerType_Generic
0x41000139,HT_TriggerType_GemsFlyToPoint
0x4100013a,HT_TriggerType_ElectricBeam
0x4100013d,HT_TriggerType_FireWorks
0x4100013e,HT_TriggerType_SmashbotPatrol
0x4100013f,HT_TriggerType_Mine
0x41000140,HT_TriggerType_KillHornet
0x41000141,HT_TriggerType_Yeti_MG3_Spy
0x41000142,HT_TriggerType_WaterPole
0x41000143,HT_TriggerType_BlinkChest
0x41000144,HT_TriggerType_DangerZone
0x41000145,HT_TriggerType_Switch_Controller
0x41000146,HT_TriggerType_PoisonBlob
0x41000147,HT_TriggerType_SteamBlast
0x4100014a,HT_TriggerType_LaserMirror
0x4100014b,HT_TriggerType_OrryLaser
0x4100014c,HT_TriggerType_HandlerIndex
0x4100014d,HT_TriggerType_JawSnapper
0x4100014e,HT_TriggerType_BoulderParent
0x4100014f,HT_TriggerType_BoulderChild
0x41000151,HT_TriggerType_NPC_Slave
0x41000152,HT_TriggerType_PickupGenerator
0x41000153,HT_TriggerType_Projector
0x41000154,HT_TriggerType_Ineptune
0x41000155,HT_TriggerType_MechaRed
0x41000157,HT_TriggerType_R5B_WWplatController
0x41000158,HT_TriggerType_PlatformShrinking
0x41000159,HT_TriggerType_DarkGemVine
0x4100015a,HT_TriggerType_IneptunePlatform
0x4100015b,HT_TriggerType_ShockWaveTower
0x4100015c,HT_TriggerType_Splitter
0x4100015d,HT_TriggerType_ShockWaveSphere
0x4100015e,HT_TriggerType_ShockWaveRing
0x4100015f,HT_TriggerType_CirclingBirdsCont
0x41000160,HT_TriggerType_CirclingBird
0x41000161,HT_TriggerType_SwampBatCont
0x41000162,HT_TriggerType_SnowEffect
0x41000163,HT_TriggerType_LaserController
0x41000164,HT_TriggerType_MutantWorm
0x41000165,HT_TriggerType_RainEffect
0x41000166,HT_TriggerType_LaserRing
0x41000167,HT_TriggerType_PhilsElecNodePuzzleCtrlr
0x41000168,HT_TriggerType_TitlesScript
0x41000169,HT_TriggerType_WaterBomb
0x4100016a,HT_TriggerType_LaserSeeker
0x4100016b,HT_TriggerType_BoxOfRockets
0x4100016c,HT_TriggerType_TeleportPad
0x4100016d,HT_TriggerType_YetiSgt
0x4100016e,HT_TriggerType_SnowBall
0x4100016f,HT_TriggerType_PiranhaPack_Controller
0x41000170,HT_TriggerType_PygmyLeader
0x41000171,HT_TriggerType_SnapperCrabLeader
0x41000172,HT_TriggerType_EyeLaser
0x41000173,HT_TriggerType_FixedTrackingLaserGun
0x41000174,HT_TriggerType_MapChangePopup
0x41000175,HT_TriggerType_BouncingMine
0x41000176,HT_TriggerType_TalkIndicator
0x41000177,HT_TriggerType_BouncingBarrel
0x41000178,HT_TriggerType_HomingMissile
0x41000179,HT_TriggerType_MechRedShockWave
0x4100017a,HT_TriggerType_Treena
0x4100017b,HT_TriggerType_SwitchIndicator
0x4100017c,HT_TriggerType_R4ZMultiPlatformDoor
0x4100017d,HT_TriggerType_R4ZMultiPlatform
0x4100017e,HT_TriggerType_HintCamera
0x4100017f,HT_TriggerType_BallGadgetTimedController
0x41000180,HT_TriggerType_BallHazardOscillating
0x41000181,HT_TriggerType_BossRobowman
0x41000182,HT_TriggerType_Tentacle
0x41000183,HT_TriggerType_FleshRed
0x41000184,HT_TriggerType_Flags
0x41000185,HT_TriggerType_R4ZFireWorks
0x41000186,HT_TriggerType_CameraShake
0x41000188,HT_TriggerType_TestJS
0x41000189,HT_TriggerType_Worm
0x4100018a,HT_TriggerType_MapBoiler
0x4100018b,HT_TriggerType_FlameBlast
0x4100018c,HT_TriggerType_DestroyMe_Archways
0x4100018d,HT_TriggerType_Chest_BLK_Weak
0x4100018e,HT_TriggerType_Chest_BLK_Strong
0x4100018f,HT_TriggerType_CrocoClub
0x41000190,HT_TriggerType_MapInfo
0x41000191,HT_TriggerType_Lift2A_2C
0x41000192,HT_TriggerType_Cloud
0x41000193,HT_TriggerType_MapPlacementCtrl
0x41000194,HT_TriggerType_DarkeGemCover
0x41000195,HT_TriggerType_TimedDoorSwitch
0x41000196,HT_TriggerType_SparxBulletRapid
0x41000197,HT_TriggerType_BalloonARang_Sgt
0x41000199,HT_TriggerType_GemStealer_Sgt
0x4100019b,HT_TriggerType_R4E_AssemblyCenter
0x4100019c,HT_TriggerType_IneptuneLaser
0x4100019d,HT_TriggerType_MechaRedShockWaveWall
0x4100019e,HT_TriggerType_RoboPatrol
0x4100019f,HT_TriggerType_DummyBarrel
0x410001a0,HT_TriggerType_R4Exit_Switch
0x410001a1,HT_TriggerType_LiftPlatform2C
0x410001a2,HT_TriggerType_Ouch
0x410001a3,HT_TriggerType_SwitchActivatedPlatform2A
0x410001a4,HT_TriggerType_PortalController
0x410001a5,HT_TriggerType_PortalSwitch

0x42000001,HT_TriggerSubType_Undefined
0x42000002,HT_TriggerSubType_1
0x42000003,HT_TriggerSubType_2
0x42000004,HT_TriggerSubType_3
0x42000005,HT_TriggerSubType_4
0x42000006,HT_TriggerSubType_5
0x42000007,HT_TriggerSubType_6
0x42000008,HT_TriggerSubType_7
0x42000009,HT_TriggerSubType_8
0x4200000a,HT_TriggerSubType_Primary
0x4200000b,HT_TriggerSubType_Gem
0x4200000c,HT_TriggerSubType_Chicken
0x4200000d,HT_TriggerSubType_Pig
0x4200000e,HT_TriggerSubType_Rabbit
0x4200000f,HT_TriggerSubType_GemController
0x42000010,HT_TriggerSubType_GemChain
0x42000011,HT_TriggerSubType_Sheep
0x42000012,HT_TriggerSubType_Winder
0x42000013,HT_TriggerSubType_R1A_puzzle
0x42000014,HT_TriggerSubType_Charge
0x42000015,HT_TriggerSubType_Horndive
0x42000016,HT_TriggerSubType_CannonBall
0x42000017,HT_TriggerSubType_Patrol
0x42000018,HT_TriggerSubType_BirdBomb
0x42000019,HT_TriggerSubType_Spawned
0x4200001a,HT_TriggerSubType_LoadMap
0x4200001b,HT_TriggerSubType_CloseMap
0x4200001c,HT_TriggerSubType_Goat_R1C
0x4200001d,HT_TriggerSubType_Charge_Platform
0x4200001e,HT_TriggerSubType_Horndive_Platform
0x42000020,HT_TriggerSubType_Realm_1ca
0x42000021,HT_TriggerSubType_RapidsPlatform
0x42000022,HT_TriggerSubType_RapidsPlatformC
0x42000023,HT_TriggerSubType_RapidsPlatformCont
0x42000024,HT_TriggerSubType_Tuna
0x42000026,HT_TriggerSubType_Sleeping
0x42000029,HT_TriggerSubType_Bird_Tracking_MG1A
0x4200002a,HT_TriggerSubType_LizHard_MG1A
0x4200002b,HT_TriggerSubType_SwapMap
0x4200002c,HT_TriggerSubType_SwampRat
0x4200002d,HT_TriggerSubType_Critter_MG1A
0x4200002e,HT_TriggerSubType_BirdBomb_MG1A
0x4200002f,HT_TriggerSubType_SwampBat
0x42000030,HT_TriggerSubType_Vulture
0x42000031,HT_TriggerSubType_SnowBall
0x42000032,HT_TriggerSubType_Bombs
0x42000033,HT_TriggerSubType_Fuel
0x42000034,HT_TriggerSubType_Missiles
0x42000035,HT_TriggerSubType_Time
0x42000036,HT_TriggerSubType_PoleGrabPath
0x42000037,HT_TriggerSubType_Slider
0x42000038,HT_TriggerSubType_HermitCB
0x42000039,HT_TriggerSubType_Projectile
0x4200003a,HT_TriggerSubType_Spear
0x4200003b,HT_TriggerSubType_Valve
0x4200003e,HT_TriggerSubType_OnPedestal
0x4200003f,HT_TriggerSubType_PygmySpear
0x42000040,HT_TriggerSubType_MG1_Spx
0x42000041,HT_TriggerSubType_Geyser_Switch
0x42000042,HT_TriggerSubType_Padlock
0x42000045,HT_TriggerSubType_FireBreath
0x42000046,HT_TriggerSubType_IceBreath
0x42000047,HT_TriggerSubType_WaterBreath
0x42000048,HT_TriggerSubType_ElectricityBreath
0x42000049,HT_TriggerSubType_Bowman
0x4200004b,HT_TriggerSubType_WeaponPowerup
0x4200004c,HT_TriggerSubType_ClamShot
0x4200004d,HT_TriggerSubType_DragonEgg1
0x4200004e,HT_TriggerSubType_DragonEgg2
0x4200004f,HT_TriggerSubType_DragonEgg3
0x42000050,HT_TriggerSubType_DragonEgg4
0x42000051,HT_TriggerSubType_DragonEgg5
0x42000052,HT_TriggerSubType_DragonEgg6
0x42000053,HT_TriggerSubType_DragonEgg7
0x42000054,HT_TriggerSubType_DragonEgg8
0x42000055,HT_TriggerSubType_IceBoulder
0x42000056,HT_TriggerSubType_Arrow
0x42000057,HT_TriggerSubType_SnowballYeti
0x42000058,HT_TriggerSubType_ArcherYeti
0x42000059,HT_TriggerSubType_BarrelYeti
0x4200005a,HT_TriggerSubType_UnarmedYeti
0x4200005b,HT_TriggerSubType_Scripted
0x4200005c,HT_TriggerSubType_Coconut
0x4200005d,HT_TriggerSubType_Bat
0x4200005e,HT_TriggerSubType_Health
0x4200005f,HT_TriggerSubType_Multi
0x42000060,HT_TriggerSubType_Laser
0x42000061,HT_TriggerSubType_Missile
0x42000062,HT_TriggerSubType_MG3_Spy
0x42000063,HT_TriggerSubType_MG4_Spy
0x42000064,HT_TriggerSubType_Path
0x42000065,HT_TriggerSubType_WaterIce
0x42000066,HT_TriggerSubType_HomingTornado
0x42000067,HT_TriggerSubType_LightGem
0x42000068,HT_TriggerSubType_SwampBatGenerated
0x42000069,HT_TriggerSubType_Electric
0x4200006a,HT_TriggerSubType_MG2_Blk
0x4200006b,HT_TriggerSubType_SmartBomb
0x4200006c,HT_TriggerSubType_SpeedBoost
0x4200006d,HT_TriggerSubType_BlinkBomb
0x4200006e,HT_TriggerSubType_EnemyBase
0x42000070,HT_TriggerSubType_SparxHard
0x42000071,HT_TriggerSubType_Tongue
0x42000072,HT_TriggerSubType_Fire
0x42000073,HT_TriggerSubType_Spin
0x42000074,HT_TriggerSubType_Winged
0x42000075,HT_TriggerSubType_Critter
0x42000077,HT_TriggerSubType_BossFireBall
0x42000078,HT_TriggerSubType_PhilsElecNode
0x42000079,HT_TriggerSubType_LaserHitBoss
0x4200007a,HT_TriggerSubType_Robot
0x4200007b,HT_TriggerSubType_RenderSpecial
0x4200007c,HT_TriggerSubType_LockPicker
0x4200007d,HT_TriggerSubType_FullHealthPickup
0x4200007e,HT_TriggerSubType_Driven
0x4200007f,HT_TriggerSubType_MapInfoWater
0x42000080,HT_TriggerSubType_Fixed
0x42000081,HT_TriggerSubType_R4E
0x42000082,HT_TriggerSubType_FlameArrowPU
0x42000083,HT_TriggerSubType_CloseMapLift
0x42000084,HT_TriggerSubType_LoadMapLift
0x42000085,HT_TriggerSubType_HASHCODE_END
