08010014;43003f03;2d701c09;Full failure is now predicted for the assembly line in five minutes. 
08010014;43003f04;2d701c0a;Warning: full assembly line stoppage has now begun.  
08010014;43003f05;2d701c0b;Central Computer now reporting multiple malfuctions in all areas of the assembly line. . 
08010014;43003f06;2d701c0c;Attention: detecting a critical failure in the Chip Production sequence.  
08010014;43003f07;2d701c0d;Warning: major malfuctions reported throughout the Chip Production facility. 
08010014;43003f08;2d701c0e;Chip Production has now suffered a critical malfucntion.  
08010014;43003f09;2d701c0f;Warning: all areas of Chip Production now permanently disabled.  
08010014;43003f0a;2d701c10;Full malfuction of the Chip Production facility is now imminent. 
08010014;43003f0b;2d7013db;Automatic belt maintenance will commence in 25 minutes.
08010014;43003f0c;2d7013db;Remember to secure all storeroom entrances before you leave an area.
08010014;43003f0d;2d7013db;Chip production will be paused at midnight for regular weekly maintenance.
08010014;43003f0e;2d7013db;Will Shift Supervisor Thomas please contact the Production manager?
08010014;43003f0f;2d7013db;Report any production related injuries to the health office as soon as they occur.
08010014;43003f10;2d7013db;The next production milestone is now ready for porcessing and shipment.
08010014;43003f11;2d7013db;Only those authorized for assembly line mangement should be in that sector.
08010014;43003f12;2d7013db;Production team for sectors 7, please check in?
08010014;43003f13;2d7013db;Until further notice, all night crew should exit the facility by the main staircase only. 
08010014;43003f14;2d7013db;Please report any assembly failures directly to your line supervisor. 
08010014;43003f15;2d7013db;Report any terminal failures directly to IT. 
08010014;43003f16;2d7013db;Will the head of Quality Control please report in immediately.
08010014;43003f17;2d7013db;Due to tonight's launch of Sabersense, all power cores must be inspected hourly. 
08010014;43003f18;2d7013db;Production Security details must check on on the hour. 
08010014;43003f19;2d7013db;Will Mr.. Bates of the Home Division please call the central office?
08010014;43003f1a;2d7013db;Warning: due to tonight's secuirty, the final assembly area is now restricted.
08010014;43003f1b;2d7013db;Please make sure all production PDAs are synced to the correct sector. 
08010014;43003f1c;2d7013db;Until further notice, the Saberling R&D room is off limits.
08010014;43003f1d;2d7013db;Reminder: personal cell phone is never permitted in the facility. 
08010014;43003f1e;2d7013db;Access to the loading deck is now restricted to those with shipping clearance. 
08010014;43003f1f;2d7013db;Security detail for production sectors 3-5, please check in?
08010014;43003f20;2d7013db;Will the head of Chip Insertion please contact the facility manager immedfiately?
08010014;43003f21;2d7013db;Please report any terminal failures directly to IT.
08010014;43003f22;2d7013db;All production support staff should remain in position,
08010014;43003f23;2d7013db;Full production monitoring has now been activated.
08010014;43003f24;2d7013db;Please report any unusual system activity to Sabersense launch control.
08010014;43003f25;2d7013db;The break rotation has been cancelled for this evening. All production crews should remain at their posts.
08010014;43003f26;2d7013db;Please report any line failures to the assembly systems manager
08010014;43003f27;2d7013db;Due to tonight's launch of Sabersense, all prodcution teams must file their reports before their shift ends. 
08010014;43003f28;2d7013db;Warning: due to secuirty, Monorail access is now a restricted area.
08010014;43003f29;2d701c11;Attention: automatic shipping of appliances has been temporarily disrupted.
08010014;43003f2a;2d701c12;Warning: all automatic shipping areas are currently malfunctioning. 
08010014;43003f2b;2d701c13;Warning: Shipping of appliances has now been stopped due to a major malfuction.
08010014;43003f2c;2d701c14;Will Shipping supervisor Stone please report to Repair & Maintenance immediately. 
08010014;43003f2d;2d701c15;Appliance shipping has now been terminated due to an unknown failure. 
08010014;43003f2e;2d7013dc;Attention: security has been compromised.
08010014;43003f2f;2d7013dc;The building is now on full alert.
08010014;43003f30;2d7013dc;All teams should immediately begin Code Red procedures.
08010014;43003f31;2d7013dc;Report any signs of irregularities to Command.
08010014;43003f32;2d7013dc;All quick response teams report to your stations.
08010014;43003f33;2d7013dc;Attention: we are in an infiltration condition on floors 1,3 and 5.
08010014;43003f34;2d7013dc;Attention: maintenance will be doing a routine elevator check tonight at 10 p.m. 
08010014;43003f35;2d7013dc;Maximum security procedures are now in effect.
08010014;43003f36;2d7013dc;FBI Commander Wilde please report in stat.
08010014;43003f37;2d7013dc;Will Agent Brady please report to data processing? 
08010014;43003f38;2d7013dc;All units report to stations.
08010014;43003f39;2d7013dc;All weapons should now be on manual and in the ready position.
08010014;43003f3a;2d7013dc;Interrogation suspect 541 is now at large,
08010014;43003f3b;2d7013dc;Attention: the video surveillance system has been compromised.
08010014;43003f3c;2d7013dc;Will the maintenance supervisor please see security about a rodent issue?
08010014;43003f3d;2d7013dc;Cooling system on level 5 has stopped fuctioning.
08010014;43003f3e;2d7013dc;All security doors have been locked. Approved access only.
08010014;43003f3f;2d7013dc;This is Bureau Full Alert. Stan by for further messages.
08010014;43003f40;2d7013dc;The transport sub basement has now been sealed.
08010014;43003f41;2d7013dc;Notice: if any rodents are spotted in your area, please notify maintenance immediately.
08010014;43003f42;2d7013dc;Elevator #3 is no longer functional.
08010014;43003f43;2d7013dc;The North Stairway has now been closed. Please find an alternate route.
08010014;43003f44;2d7013dc;All visiotrs are now confined to their current location.
08010014;43003f45;2d7013dc;All investiagtive units report immediately to the interrogation rooms.
08010014;43003f46;2d7013dc;Reminder: All transport requensts must be filed to the motor pool office daily.
08010014;43003f47;2d7013dc;Building audio signals appear compromised. Please confirm all conatacts with usual security procedures.
08010014;43003f48;2d7013dc;Full building lockdown is now in place.
08010014;43003f49;2d7013dc;The firing range will be open this afternoon from 2 to 5 for free practice.
08010014;43003f4a;2d7013dc;Please be advised tickets are still available for the Bureau's holiday party.
08010014;43003f4b;2d7013dc;All building security details check in immediately.
08010014;43003f4c;2d7013dd;Satelitte communications engaged.
08010014;43003f4d;2d7013dd;Targetting and disc controls activated.
08010014;43003f4e;2d7013dd;Prepare for remote targetting.
08010014;43003f4f;2d7013dd;All satelitte center staff should evacuate the center immediately.
08010014;43003f50;2d7013dd;All satelittes now linked.
08010014;43003f51;2d7013dd;Sabersense Global now fully engaged.
08010014;43003f52;2d7013dd;Earth coordinates now uplinked to all satelittes.
08010014;43003f53;2d7013dd;Targetting confirmation in three minutes.
08010014;43003f54;2d7013dd;Manual override of sat controls now disengaged.
08010014;43003f55;2d7013dd;Global communications now fully functional.
08010014;43003f56;2d7013dd;Warning: erratic readings indicate general satelitte systems failure.
08010014;43003f57;2d7013dd;Satelitte comm center has now entered the targetting array.
08010014;43003f58;2d7013dd;Anyone with a Level 5 clerance should report to the Sat Control Room.
08010014;43003f59;2d7013dd;All systems now under manual control.
08010014;43003f5a;2d7013dd;Security alert for all sectors.
08010014;43003f5b;2d7013dd;Will the head of satellite security report to the Command Center now? 
08010014;43003f5c;2d7013dd;Full area evac is now in progress.
08010014;43003f5d;2d7013dd;The Orion Satelitte chain is now fully linked.
08010014;43003f5e;2d7013dd;Attention: internal terminals are no longer linked to the Main Computer.
08010014;43003f5f;2d7013dd;Fire teams please report to your emergency stations.
08010014;43003f60;2d7013dd;Warning: an error has been detercted in a key intitializing sequence of Sabersense.
08010014;43003f61;2d7013dd;Attempt to shut down Sabersense Global has failed.
08010014;43003f62;2d7013dd;Welcome to the Satellite Control Center….Welcome to the Satellite Control Center….Welcome to the Satellite Control Center….
08010014;43003f63;2d7013dd;Internal alarm systen has been rendered non-functional. Have a nice day.
08010014;43003f64;2d7013dd;Full targetting of area will complete in ten minutes.
08010014;43003f65;2d7013dd;Attempt to track source of current control has failed.
08010014;43003f66;2d7013dd;Attempt to analyze failures….has failed.
08010014;43003f67;2d7013dd;All satellites fully armed.
08010014;43003f68;2d7013dd;The All-clear warning system is non-operational.
08010014;43003f69;2d7013dd;Secondary satellite communications continue to be functional.
08010014;43003f6a;2d7019ae;Whooo!
08010014;43003f6b;2d7019ad;Hooooo--wow!
08010014;43003f6c;2d7019af;Yeehaw!
08010014;43003f6d;2d7019b0;Ohhhhhhh!
08010014;43003f6e;2d7019b1;Hopping…..rabbitsssssssss!
08010014;43003f6f;2d7019b2;Yiiiiiiiikes!
08010014;43003f70;2d7019b3;Whoa-ho!
08010014;43003f71;2d7019b4;Heyyyyyy!
08010014;43003f72;2d7019b5;Wheeeee!
08010014;43003f73;2d7019b6;Herewego!!!!!!
08010014;43003f74;2d7019b7;Ahhhhhhhhh!
08010014;43003f75;2d7019b8;Watch…..outtttttttttt!
08010014;43003f76;2d7019b9;We're flying!
08010014;43003f77;2d7019ba;Haaaaaaaa!
08010014;43003f78;2d7019bb;Ah---whoa!
08010014;43003f79;2d7019bc;Uh-ohhhhhhh!
08010014;43003f7a;2d7019bd;Whammmmmm-oh!
08010014;43003f7b;2d7019be;Brrrrr-up!
08010014;43003f7c;2d7019bf;Uhhhhhhhh--oh!
08010014;43003f7d;2d7019c0;Whooooooops!
08010014;43003f7e;2d7019c1;Ow--okay, that hurt.
08010014;43003f7f;2d7019c2;Now--I'm mad.
08010014;43003f80;2d7019c3;Uhhh--better work on the bobbing and weaving!
08010014;43003f81;2d7019c4;Just a lucky shot.
08010014;43003f82;2d7019c5;Least we're still rolling!
08010014;43003f83;2d7019c7;We still got all four wheels?
08010014;43003f84;2d7019c6;This RDV... can really take a hit!
08010014;43003f85;2d7019c8;Didn't see that shot coming!
08010014;43003f86;2d7019c9;Whoa - everyone okay? Good!
08010014;43003f87;2d7016cc;What? I don't like being a target! 
08010014;43003f88;2d7016ce;They're just lucky, that's all!
08010014;43003f89;2d7016cf;Kick it up a notch, D!
08010014;43003f8a;2d7016cd;Now I'm getting angry!
08010014;43003f8b;2d7016d0;We still got our wheels!
08010014;43003f8c;2d7016d1;Time for some of those evasive maneuvers!
08010014;43003f8d;2d701caa;Carful Darwin!
08010014;43003f8e;2d701ca7;That was too close!
08010014;43003f8f;2d701ca9;Hope this RDV can take it!
08010014;43003f90;2d701cab;Not bad aim - unfortunately.
08010014;43003f91;2d701ca8;Let's doube-time it before we get hit again!
08010014;43003fb0;2d701c27;Now it’s road kill…without the road.
08010014;43003fb1;2d701c26;One less rat in the world.
08010014;43003fb2;ffffffff;I'm not picking that dead rodent up, no way!
08010014;43003fb3;2d701c28;Hm, guess you couldn't outsmart me rodent!
08010014;43003fb4;2d701c29;Geee…now I feel…kinda bad.
08010014;43003fb5;2d701c2a;Any other rodents appear, and they'll get the same treatment.
08010014;43003fb6;2d701c2b;Hey mouse---told ya…you don't mess with me!
08010014;43003fb7;ffffffff;Better tell housecleaning to clean up the mess here.
08010014;43003fb8;2d701c2c;Lil fella…just wasn't fast enough.
08010014;43003fb9;2d701c2d;Hmmm…probably had rabies anyway.
08010014;43003fba;2d701c2e;Where'd it go?
08010014;43003fbb;2d701c2f;Hey - it's gone?
08010014;43003fbc;ffffffff;Where did that thing go?
08010014;43003fbd;2d701c30;What just happened?
08010014;43003fbe;2d701c31;Huh - was I just seeing things...?
08010014;43003fbf;2d701c32;Where's that rat?
08010014;43003fc0;2d701c33;That's one weird mouse!
08010014;43003fc1;ffffffff;Hey--that rodent has to be here…somewhere.
08010014;43003fc2;2d701c34;Did that thing just lose me?
08010014;43003fc3;2d701c35;Huh - wha the-?
section;hashcode;sound_hashcode;text
08010014;43003ee3;2d7013da;All security details check in immediately!
08010014;43003ee4;2d7013da;All techical staff to operational positions!
08010014;43003ee5;2d7013da;SaberSense monitoring systems now fully activated!
08010014;43003ee6;2d7013da;Attention: intermittent power surges should be expected over the next 60 minutes.
08010014;43003ee7;2d7013da;Please report any unusual system activity to Sabersense launch control.
08010014;43003ee8;2d7013da;We regret that due to operational necessities, there will be no staff buffet tonight.
08010014;43003ee9;2d7013da;Until further notice, only use the main mansion entrance to leave the building.
08010014;43003eea;2d7013da;The break rotation has been cancelled for this evening. All staff remain at your post.
08010014;43003eeb;2d7013da;Please report any monitor failure to the A/V systems manager.
08010014;43003eec;2d7013da;IT regrets that perosnal access to any terminals will not be permitted this evening.
08010014;43003eed;2d7013da;Will Captain Clarke of Security please report in immediately.
08010014;43003eee;2d7013da;Due to tonight's launch of Sabersense, all teams must file their daily reprot before leaving the mansion.
08010014;43003eef;2d7013da;Will the head of press information contact the launch office immediately?
08010014;43003ef0;2d7013da;Warning: due to secuirty, the east wing of the mansion is now a restricted area.
08010014;43003ef1;2d7013da;Please check your PDAs for current security status in the mansion.
08010014;43003ef2;2d7013da;All teams should now consult the security requirements for Code Orange.
08010014;43003ef3;2d7013da;Until further notice, the Saberling display room is off limits.
08010014;43003ef4;2d7013da;Will Mr. Kite please report to launch control immediately.
08010014;43003ef5;2d7013da;All personal cell phone use should now be terminated.
08010014;43003ef6;2d7013da;The gym and spa are now closed.
08010014;43003ef7;2d7013da;Security detail for sectors 3-5, please check in?
08010014;43003ef8;2d7013da;Reminder: No personal photography is permitted anywhere within the mansion.
08010014;43003ef9;2d7013da;All exterior security teams should now+H1634 be on luanch status.
08010014;43003efa;2d7013da;The main staircase is now closed.
08010014;43003efb;2d7013da;All kitchen staff--please stand by your stations.
08010014;43003efc;2d7013da;The media room is now off-limits to all mansion staff.
08010014;43003efd;2d7013da;Will the representatives from TV 7 News please check in with the luanch information manager?
08010014;43003efe;2d7013da;Coffee is available in the main lobby and outside the conference room.
08010014;43003eff;2d7013da;For anyone in the media room, if the music's over, turn out the lights.
08010014;43003f00;2d7013da;Attention: will the security team from sector 3 please report in?
08010014;43003f01;2d701c07;Assembly line failure nlow appears imminent. 
08010014;43003f02;2d701c08;Warning: a fatal malfucntion has now stopped the assembly line. Please begin a full system reboot. 
08010014;43003f03;2d701c09;Full failure is now predicted for the assembly line in five minutes. 
08010014;43003f04;2d701c0a;Warning: full assembly line stoppage has now begun.  
08010014;43003f05;2d701c0b;Central Computer now reporting multiple malfuctions in all areas of the assembly line. . 
08010014;43003f06;2d701c0c;Attention: detecting a critical failure in the Chip Production sequence.  
08010014;43003f07;2d701c0d;Warning: major malfuctions reported throughout the Chip Production facility. 
08010014;43003f08;2d701c0e;Chip Production has now suffered a critical malfucntion.  
08010014;43003f09;2d701c0f;Warning: all areas of Chip Production now permanently disabled.  
08010014;43003f0a;2d701c10;Full malfuction of the Chip Production facility is now imminent. 
08010014;43003f0b;2d7013db;Automatic belt maintenance will commence in 25 minutes.
08010014;43003f0c;2d7013db;Remember to secure all storeroom entrances before you leave an area.
08010014;43003f0d;2d7013db;Chip production will be paused at midnight for regular weekly maintenance.
08010014;43003f0e;2d7013db;Will Shift Supervisor Thomas please contact the Production manager?
08010014;43003f0f;2d7013db;Report any production related injuries to the health office as soon as they occur.
08010014;43003f10;2d7013db;The next production milestone is now ready for porcessing and shipment.
08010014;43003f11;2d7013db;Only those authorized for assembly line mangement should be in that sector.
08010014;43003f12;2d7013db;Production team for sectors 7, please check in?
08010014;43003f13;2d7013db;Until further notice, all night crew should exit the facility by the main staircase only. 
08010014;43003f14;2d7013db;Please report any assembly failures directly to your line supervisor. 
08010014;43003f15;2d7013db;Report any terminal failures directly to IT. 
08010014;43003f16;2d7013db;Will the head of Quality Control please report in immediately.
08010014;43003f17;2d7013db;Due to tonight's launch of Sabersense, all power cores must be inspected hourly. 
08010014;43003f18;2d7013db;Production Security details must check on on the hour. 
08010014;43003f19;2d7013db;Will Mr.. Bates of the Home Division please call the central office?
08010014;43003f1a;2d7013db;Warning: due to tonight's secuirty, the final assembly area is now restricted.
08010014;43003f1b;2d7013db;Please make sure all production PDAs are synced to the correct sector. 
08010014;43003f1c;2d7013db;Until further notice, the Saberling R&D room is off limits.
08010014;43003f1d;2d7013db;Reminder: personal cell phone is never permitted in the facility. 
08010014;43003f1e;2d7013db;Access to the loading deck is now restricted to those with shipping clearance. 
08010014;43003f1f;2d7013db;Security detail for production sectors 3-5, please check in?
08010014;43003f20;2d7013db;Will the head of Chip Insertion please contact the facility manager immedfiately?
08010014;43003f21;2d7013db;Please report any terminal failures directly to IT.
08010014;43003f22;2d7013db;All production support staff should remain in position,
08010014;43003f23;2d7013db;Full production monitoring has now been activated.
08010014;43003f24;2d7013db;Please report any unusual system activity to Sabersense launch control.
08010014;43003f25;2d7013db;The break rotation has been cancelled for this evening. All production crews should remain at their posts.
08010014;43003f26;2d7013db;Please report any line failures to the assembly systems manager
08010014;43003f27;2d7013db;Due to tonight's launch of Sabersense, all prodcution teams must file their reports before their shift ends. 
08010014;43003f28;2d7013db;Warning: due to secuirty, Monorail access is now a restricted area.
08010014;43003f29;2d701c11;Attention: automatic shipping of appliances has been temporarily disrupted.
08010014;43003f2a;2d701c12;Warning: all automatic shipping areas are currently malfunctioning. 
08010014;43003f2b;2d701c13;Warning: Shipping of appliances has now been stopped due to a major malfuction.
08010014;43003f2c;2d701c14;Will Shipping supervisor Stone please report to Repair & Maintenance immediately. 
08010014;43003f2d;2d701c15;Appliance shipping has now been terminated due to an unknown failure. 
08010014;43003f2e;2d7013dc;Attention: security has been compromised.
08010014;43003f2f;2d7013dc;The building is now on full alert.
08010014;43003f30;2d7013dc;All teams should immediately begin Code Red procedures.
08010014;43003f31;2d7013dc;Report any signs of irregularities to Command.
08010014;43003f32;2d7013dc;All quick response teams report to your stations.
08010014;43003f33;2d7013dc;Attention: we are in an infiltration condition on floors 1,3 and 5.
08010014;43003f34;2d7013dc;Attention: maintenance will be doing a routine elevator check tonight at 10 p.m. 
08010014;43003f35;2d7013dc;Maximum security procedures are now in effect.
08010014;43003f36;2d7013dc;FBI Commander Wilde please report in stat.
08010014;43003f37;2d7013dc;Will Agent Brady please report to data processing? 
08010014;43003f38;2d7013dc;All units report to stations.
08010014;43003f39;2d7013dc;All weapons should now be on manual and in the ready position.
08010014;43003f3a;2d7013dc;Interrogation suspect 541 is now at large,
08010014;43003f3b;2d7013dc;Attention: the video surveillance system has been compromised.
08010014;43003f3c;2d7013dc;Will the maintenance supervisor please see security about a rodent issue?
08010014;43003f3d;2d7013dc;Cooling system on level 5 has stopped fuctioning.
08010014;43003f3e;2d7013dc;All security doors have been locked. Approved access only.
08010014;43003f3f;2d7013dc;This is Bureau Full Alert. Stan by for further messages.
08010014;43003f40;2d7013dc;The transport sub basement has now been sealed.
08010014;43003f41;2d7013dc;Notice: if any rodents are spotted in your area, please notify maintenance immediately.
08010014;43003f42;2d7013dc;Elevator #3 is no longer functional.
08010014;43003f43;2d7013dc;The North Stairway has now been closed. Please find an alternate route.
08010014;43003f44;2d7013dc;All visiotrs are now confined to their current location.
08010014;43003f45;2d7013dc;All investiagtive units report immediately to the interrogation rooms.
08010014;43003f46;2d7013dc;Reminder: All transport requensts must be filed to the motor pool office daily.
08010014;43003f47;2d7013dc;Building audio signals appear compromised. Please confirm all conatacts with usual security procedures.
08010014;43003f48;2d7013dc;Full building lockdown is now in place.
08010014;43003f49;2d7013dc;The firing range will be open this afternoon from 2 to 5 for free practice.
08010014;43003f4a;2d7013dc;Please be advised tickets are still available for the Bureau's holiday party.
08010014;43003f4b;2d7013dc;All building security details check in immediately.
08010014;43003f4c;2d7013dd;Satelitte communications engaged.
08010014;43003f4d;2d7013dd;Targetting and disc controls activated.
08010014;43003f4e;2d7013dd;Prepare for remote targetting.
08010014;43003f4f;2d7013dd;All satelitte center staff should evacuate the center immediately.
08010014;43003f50;2d7013dd;All satelittes now linked.
08010014;43003f51;2d7013dd;Sabersense Global now fully engaged.
08010014;43003f52;2d7013dd;Earth coordinates now uplinked to all satelittes.
08010014;43003f53;2d7013dd;Targetting confirmation in three minutes.
08010014;43003f54;2d7013dd;Manual override of sat controls now disengaged.
08010014;43003f55;2d7013dd;Global communications now fully functional.
08010014;43003f56;2d7013dd;Warning: erratic readings indicate general satelitte systems failure.
08010014;43003f57;2d7013dd;Satelitte comm center has now entered the targetting array.
08010014;43003f58;2d7013dd;Anyone with a Level 5 clerance should report to the Sat Control Room.
08010014;43003f59;2d7013dd;All systems now under manual control.
08010014;43003f5a;2d7013dd;Security alert for all sectors.
08010014;43003f5b;2d7013dd;Will the head of satellite security report to the Command Center now? 
08010014;43003f5c;2d7013dd;Full area evac is now in progress.
08010014;43003f5d;2d7013dd;The Orion Satelitte chain is now fully linked.
08010014;43003f5e;2d7013dd;Attention: internal terminals are no longer linked to the Main Computer.
08010014;43003f5f;2d7013dd;Fire teams please report to your emergency stations.
08010014;43003f60;2d7013dd;Warning: an error has been detercted in a key intitializing sequence of Sabersense.
08010014;43003f61;2d7013dd;Attempt to shut down Sabersense Global has failed.
08010014;43003f62;2d7013dd;Welcome to the Satellite Control Center….Welcome to the Satellite Control Center….Welcome to the Satellite Control Center….
08010014;43003f63;2d7013dd;Internal alarm systen has been rendered non-functional. Have a nice day.
08010014;43003f64;2d7013dd;Full targetting of area will complete in ten minutes.
08010014;43003f65;2d7013dd;Attempt to track source of current control has failed.
08010014;43003f66;2d7013dd;Attempt to analyze failures….has failed.
08010014;43003f67;2d7013dd;All satellites fully armed.
08010014;43003f68;2d7013dd;The All-clear warning system is non-operational.
08010014;43003f69;2d7013dd;Secondary satellite communications continue to be functional.
08010014;43003f6a;2d7019ae;Whooo!
08010014;43003f6b;2d7019ad;Hooooo--wow!
08010014;43003f6c;2d7019af;Yeehaw!
08010014;43003f6d;2d7019b0;Ohhhhhhh!
08010014;43003f6e;2d7019b1;Hopping…..rabbitsssssssss!
08010014;43003f6f;2d7019b2;Yiiiiiiiikes!
08010014;43003f70;2d7019b3;Whoa-ho!
08010014;43003f71;2d7019b4;Heyyyyyy!
08010014;43003f72;2d7019b5;Wheeeee!
08010014;43003f73;2d7019b6;Herewego!!!!!!
08010014;43003f74;2d7019b7;Ahhhhhhhhh!
08010014;43003f75;2d7019b8;Watch…..outtttttttttt!
08010014;43003f76;2d7019b9;We're flying!
08010014;43003f77;2d7019ba;Haaaaaaaa!
08010014;43003f78;2d7019bb;Ah---whoa!
08010014;43003f79;2d7019bc;Uh-ohhhhhhh!
08010014;43003f7a;2d7019bd;Whammmmmm-oh!
08010014;43003f7b;2d7019be;Brrrrr-up!
08010014;43003f7c;2d7019bf;Uhhhhhhhh--oh!
08010014;43003f7d;2d7019c0;Whooooooops!
08010014;43003f7e;2d7019c1;Ow--okay, that hurt.
08010014;43003f7f;2d7019c2;Now--I'm mad.
08010014;43003f80;2d7019c3;Uhhh--better work on the bobbing and weaving!
08010014;43003f81;2d7019c4;Just a lucky shot.
08010014;43003f82;2d7019c5;Least we're still rolling!
08010014;43003f83;2d7019c7;We still got all four wheels?
08010014;43003f84;2d7019c6;This RDV... can really take a hit!
08010014;43003f85;2d7019c8;Didn't see that shot coming!
08010014;43003f86;2d7019c9;Whoa - everyone okay? Good!
08010014;43003f87;2d7016cc;What? I don't like being a target! 
08010014;43003f88;2d7016ce;They're just lucky, that's all!
08010014;43003f89;2d7016cf;Kick it up a notch, D!
08010014;43003f8a;2d7016cd;Now I'm getting angry!
08010014;43003f8b;2d7016d0;We still got our wheels!
08010014;43003f8c;2d7016d1;Time for some of those evasive maneuvers!
08010014;43003f8d;2d701caa;Carful Darwin!
08010014;43003f8e;2d701ca7;That was too close!
08010014;43003f8f;2d701ca9;Hope this RDV can take it!
08010014;43003f90;2d701cab;Not bad aim - unfortunately.
08010014;43003f91;2d701ca8;Let's doube-time it before we get hit again!
08010014;43003fb0;2d701c27;Now it’s road kill…without the road.
08010014;43003fb1;2d701c26;One less rat in the world.
08010014;43003fb2;ffffffff;I'm not picking that dead rodent up, no way!
08010014;43003fb3;2d701c28;Hm, guess you couldn't outsmart me rodent!
08010014;43003fb4;2d701c29;Geee…now I feel…kinda bad.
08010014;43003fb5;2d701c2a;Any other rodents appear, and they'll get the same treatment.
08010014;43003fb6;2d701c2b;Hey mouse---told ya…you don't mess with me!
08010014;43003fb7;ffffffff;Better tell housecleaning to clean up the mess here.
08010014;43003fb8;2d701c2c;Lil fella…just wasn't fast enough.
08010014;43003fb9;2d701c2d;Hmmm…probably had rabies anyway.
08010014;43003fba;2d701c2e;Where'd it go?
08010014;43003fbb;2d701c2f;Hey - it's gone?
08010014;43003fbc;ffffffff;Where did that thing go?
08010014;43003fbd;2d701c30;What just happened?
08010014;43003fbe;2d701c31;Huh - was I just seeing things...?
08010014;43003fbf;2d701c32;Where's that rat?
08010014;43003fc0;2d701c33;That's one weird mouse!
08010014;43003fc1;ffffffff;Hey--that rodent has to be here…somewhere.
08010014;43003fc2;2d701c34;Did that thing just lose me?
08010014;43003fc3;2d701c35;Huh - wha the-?
